canister	endpoint_or_flow	scenario_key	count	total_local_instructions	avg_local_instructions
app	canic_time	app:canic_time:minimal-valid	1	19916	19916
app	canic_env	app:canic_env:minimal-valid	1	21585	21585
app	canic_log	app:canic_log:empty-page	1	359006	359006
root	canic_subnet_registry	root:canic_subnet_registry:full-registry	1	173870	173870
root	canic_subnet_state	root:canic_subnet_state:empty-struct	1	21694	21694
scale_hub	plan_create_worker	scale_hub:plan_create_worker:empty-pool	1	56353	56353
scale_hub	create_worker	scale_hub:create_worker:first-worker	1	2660387	2660387
user_hub	create_account	user_hub:create_account:first-account	1	2869604	2869604
root	canic_request_delegation	root:canic_request_delegation:fresh-shard	1	2281850	2281850
test	test_verify_delegated_token	test:test_verify_delegated_token:valid-delegated-token	1	4142	4142
test	test	test:test:minimal-valid	1	421	421
root	canic_response_capability_v1	root:canic_response_capability_v1:request-cycles-fresh	1	612625	612625
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	1	587276	587276
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	1	223380	223380
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	1	396500	396500
