canister	endpoint_or_flow	scenario_key	sample_origin	count	total_local_instructions	avg_local_instructions
leaf_probe	audit_time_probe	app:canic_time:minimal-valid	query	1	32047	32047
leaf_probe	audit_env_probe	app:canic_env:minimal-valid	query	1	33591	33591
leaf_probe	audit_log_probe	app:canic_log:empty-page	query	1	297827	297827
root_probe	audit_subnet_registry_probe	root:canic_subnet_registry:full-registry	query	1	76246	76246
root_probe	audit_subnet_state_probe	root:canic_subnet_state:empty-struct	query	1	32251	32251
scaling_probe	audit_plan_create_worker_probe	scale_hub:plan_create_worker:empty-pool	query	1	65661	65661
root	canic_prepare_delegation_proof_batch	root:canic_prepare_delegation_proof_batch:fresh-shard	update	0	0	0
test	test	test:test:minimal-valid	update	0	0	0
root	canic_response_capability_v1	root:canic_response_capability_v1:request-cycles-fresh	update	0	0	0
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	update	0	0	0
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	update	0	0	0
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	update	0	0	0
