canister	endpoint_or_flow	scenario_key	count	total_local_instructions	avg_local_instructions
app	canic_time	app:canic_time:minimal-valid	1	19849	19849
app	canic_env	app:canic_env:minimal-valid	1	21452	21452
app	canic_log	app:canic_log:empty-page	1	358212	358212
root	canic_subnet_registry	root:canic_subnet_registry:full-registry	1	180116	180116
root	canic_subnet_state	root:canic_subnet_state:empty-struct	1	21675	21675
scale_hub	plan_create_worker	scale_hub:plan_create_worker:empty-pool	1	56383	56383
scale_hub	create_worker	scale_hub:create_worker:first-worker	1	2653867	2653867
user_hub	create_account	user_hub:create_account:first-account	1	2957122	2957122
root	canic_request_delegation	root:canic_request_delegation:fresh-shard	1	3934327	3934327
test	test_verify_delegated_token	test:test_verify_delegated_token:valid-delegated-token	1	4162	4162
test	test	test:test:minimal-valid	1	421	421
root	canic_response_capability_v1	root:canic_response_capability_v1:request-cycles-fresh	1	1526009	1526009
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	1	584924	584924
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	1	229104	229104
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	1	399671	399671
