canister	endpoint_or_flow	scenario_key	count	total_local_instructions	avg_local_instructions
app	canic_time	app:canic_time:minimal-valid	1	19853	19853
app	canic_env	app:canic_env:minimal-valid	1	21456	21456
app	canic_log	app:canic_log:empty-page	1	358909	358909
root	canic_subnet_registry	root:canic_subnet_registry:full-registry	1	180350	180350
root	canic_subnet_state	root:canic_subnet_state:empty-struct	1	20891	20891
scale_hub	plan_create_worker	scale_hub:plan_create_worker:empty-pool	1	56639	56639
scale_hub	create_worker	scale_hub:create_worker:first-worker	1	2658302	2658302
user_hub	create_account	user_hub:create_account:first-account	1	2954051	2954051
root	canic_request_delegation	root:canic_request_delegation:fresh-shard	1	4356980	4356980
test	test_verify_delegated_token	test:test_verify_delegated_token:valid-delegated-token	1	4375	4375
test	test	test:test:minimal-valid	1	421	421
root	canic_response_capability_v1	root:canic_response_capability_v1:request-cycles-fresh	1	1532060	1532060
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	1	584849	584849
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	1	221129	221129
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	1	391451	391451
