field	value
experiment	b1-09-candid-type-documentation
run_mode	retained
sequence	09
source_commit	50f40171d6177c3d1e490b1fdb5f6163323b2cd5
source_tree	5a66988735c707b188d9d1fe03a3ed3b4ff7a273
baseline_cargo_lock_sha256	0fd6c7897d08e6a0f4e436caaf319ba24ebc32236434010b5c6ae3507f663147
measured_cargo_lock_sha256	e8cb806783ecb9dae4bf73aad15f33361a4e50ee370b7209b8fa1330e92e79f5
switch_kind	prepared_pair
switch_value	scripts/ci/wasm-ablation-patches/b1-09-candid-type-documentation.patch
switch_sha256	f4248cac1657775a7f4994708631b7c09eb49be9ba1ea06c95387d7fb6cb9a5a
switch_diff_sha256	8e073668b49045a46de66eed878fc0b03f43300d71bf42bad08ab102a1cf5a52
prepared_source_sha256	ba3918ce1ef6b217ad0280f816c009ee42579826efcb23d0dac756bce8c96670
condition_environment_variable	CANIC_AUDIT_CANDID_TYPE_DOCS
baseline_environment_value	1
variant_environment_value	0
immediate_baseline	b1-01-current-baseline
artifact_selectors	canonical,runtime_probe,payload_limit_probe,blob_storage_probe
measured_artifacts	canonical_app,canonical_index_hub,canonical_test,canonical_user_hub,canonical_scale_hub,canonical_index_child,canonical_user_shard,canonical_scale_replica,canonical_root,canonical_fleet_coordinator,canonical_wasm_store,runtime_probe,payload_limit_probe,blob_storage_probe
instruction_evidence	build-only derived type-documentation attribution; method docs retained; no runtime parity claim
source_owners	Cargo.toml;Cargo.lock;crates/canic-macros;crates/canic-core/src/dto;crates/canic-core/src/ids;crates/canic/src/macros/endpoints;crates/canic-host/src/bootstrap_store/mod.rs
runner_source_sha256	e7a89a8ed20b6f7b3bd6f88a3d6173e7fe9804b648743606879b6e012b4a405b
build_harness_source_sha256	58f2453cae5124246666f8b53eca37040ef3bd2c829e624d7dec0e3864056f91
build_harness_cargo_lock_sha256	5c1b8da76b1d0ea19365cc8a6d0070fa03251927dd9df48e10be5a1d6524a6d5
build_harness_baseline_executable_sha256	4de249be239e8e21ddd40ff7c5c4e82fcef5fa3b51d3bcb3687da83f98a6a79a
build_harness_variant_executable_sha256	2b520d67fd9f5e9f0fa5ca2063530ceb36d9b3f08999d124d0aa41618a026e08
replica_function_counter_identity	canic-b1-replica-function-count/v1	ic_source_commit=2f8dc21e2e5c37a4cae7f65d2a4230ac8f143e5a	quantity=local-defined-functions	limit=50000
replica_function_counter_source_sha256	bcab127a0a188a1f013eb70c09e595b023fecd6ff55cddaa9a2eb1e40abb6e01
replica_function_counter_executable_sha256	1df29feb74559db6ae683d0e60f4f6a164f664acb568d3d5436321f42d7d14e0
frozen_ic_validator_commit	2f8dc21e2e5c37a4cae7f65d2a4230ac8f143e5a
ic_replica_max_defined_functions	50000
ic_replica_required_function_reserve	2500
retention_eligible	yes
determinism_repetitions	2
determinism_claim	pass
execution_path_sha256	9109224bfb665e5652194da21f9d2730b8591c57d2ac570c6eed08889658113d
cargo_version	cargo 1.97.1 (c980f4866 2026-06-30)
rustc_version	rustc 1.97.1 (8bab26f4f 2026-07-14)
ic_wasm_version	ic-wasm 0.11.1
didc_version	didc 0.5.4
wasm_objdump_version	1.0.34
wasm_validate_version	1.0.34
